headline,category
"Rahul Gandhi running 'mega mall of hatred', not 'mohabbat ki dukan': BJP leader Nadda",politics
Election Commission doesn't have powers to change party's name: Uddhav,politics
How PM Modi attacked Rahul Gandhi on 4 points in Bikaner,politics
"Unlike in Faizal & Azam cases, EC giving Rahul Gandhi time to seek legal remedy",politics
"PM Modi’s retort to Congress, extols contributions of Gita Press in Gorakhpur",politics
Congress media chief Jairam Ramesh gives proof of not unfollowing Rahul Gandhi on Twitter,politics
Gujarat HC order on Rahul Gandhi’s conviction: Congress calls it political conspiracy,politics
"Rahul fighting battle for people's interests, 'arrogant regime' using all tricks to deter him: Priyanka Gandhi",politics
West Bengal panchayat elections: BJP’s Amit Malviya praises court orders on deployment of central forces on booths,politics
1,politics
2,politics
3,politics
4,politics
5,politics
6,politics
7,politics
8,politics
9,politics
10,politics
11,politics
12,politics
News,politics
News,politics
PM Modi’s 4-state tour: Congress’s Jairam Ramesh demands comment on Manipur,politics
"Shivraj Singh Chouhan washing feet of tribal man is drama, says opposition",politics
Sharad Pawar: 'I am the president of NCP. If anyone else has ... ',politics
What's behind fresh Nitish-NDA buzz?,politics
How Centre plans to move ahead on Uniform Civil Code in Parliament,politics
Congress warns of fallout of Manipur violence in Northeast region,politics
"Congress to organise nationwide protest on July 7, 8 against BJP man peeing on MP tribal youth",politics
Congress focus on nursing leaders from 4 communities to strengthen party,politics
"5 MPs of CPI, CPM to visit strife-torn Manipur for 3 days to assess situation",politics
My first priority is to restore people's faith in democracy in Punjab: Sunil Jakhar,politics
"You are 83, aren't you going to stop? Ajit Pawar takes a swipe at Sharad Pawar's U-turn on retirement",politics
"MP government slaps NSA on BJP worker seen urinating on tribal youth, opposition demands stricter action",politics
"Upset with Ajit entry, Shinde's MLAs say 'will get half a bread instead of one now'",politics
"Congress calls PM Modi ‘Menhgaai Man’, blames Centre for price rise",politics
"Congress holds meeting on Mizoram polls, CM Zoramthanga seeks Centre’s help on Manipur",politics
How BJP seeks to give its best in Telangana despite Karnataka loss,politics
Centre gears up for Lok Sabha election in J&K as SC to hear petition on Article 370,politics
Congress takes dig at BJP over delay in electing leader in Karnataka assembly,politics
Maharashtra NCP crisis: How opposition parties expressed solidarity with Sharad Pawar,politics
Opposition’s message to BJP over Bengaluru meet amid Maharashtra NCP crisis,politics
Maharashtra NCP crisis: Why PM Modi is being targetted by opposition,politics
Next meeting of opposition parties to be held in Bengaluru on July 17-18: Congress,politics
Maharashtra: Devendra Fadnavis delivers yet again for BJP bosses,politics
"Monsoon session of Parliament: Congress plans to corner government over Manipur violence, inflation",politics
"2 speeches at 2 places, how PM Modi focused on guarantees",politics
BJP divided over Rahul Gandhi’s violence-torn Manipur visit,politics
"BJP, Congress clash over upcoming monsoon session of Parliament",politics
PM Modi counters Congress over guarantees to farmers,politics
"In crushing blow, key aide Rahul Kanal ditches Aaditya Thackeray for Eknath Shinde",politics
"Modi govt gulled people with lies, lectures: Congress",politics
"Earlier, PMs used to discuss terrorism during US visits; Modi signs agreements on space, FDI: JP Nadda",politics
Removing Manipur chief minister N Biren Singh no solution to violence: Former Tripura CM Biplab Deb,politics
"Ahead of polls, Congress appoints TS Singhdeo as deputy chief minister of Chhattisgarh",politics
Shivakumar's remarks on Siddaramaiah throws Karnataka Congress into a tizzy,politics
'Alliance of corrupt' will collapse like pack of cards: Anurag Thakur on opposition unity,politics
We're going to fight unitedly: Mallikarjun Kharge on opposition party leaders' meet,politics
"'Congress's silence raises suspicions': Delhi ordinance row casts shadow on Patna opposition conclave, AAP sets conditions to join future meetings",politics
​Opposition parties going to defeat BJP together: Rahul Gandhi,politics
"Amit Shah says Modi will return as PM in 2024 with over 300 seats, calls opposition meeting in Patna 'photo session'",politics
Heads of 15 opposition parties and CMs of six states to meet in Patna on Friday to discuss strategies to take on BJP in 2024 polls,politics
TMC calls Patna opposition meet 'good beginning' ahead of 2024 Lok Sabha polls,politics
"Biparjoy: How PM Modi emerged as Dhirodatta, says MP CM Shivraj Singh Chouhan",politics
"Naveen Patnaik siding with fascism, BJD unofficially with BJP: TMC",politics
"Gita Press gets Gandhi Peace Prize, Congress calls move anti-Mahatma",politics
PDA: Samajwadi Party chief Akhilesh Yadav defines formula to beat BJP in 2024 Lok Sabha polls,politics
"Love-jihad is defaming Islam, Muslims must oppose it: Baba Ramdev",politics
"Jitan Ram Manjhi working as BJP’s spy, claims Bihar CM Nitish Kumar",politics
"Former India cricketer Ambati Rayudu to join YSRCP, may contest Lok Sabha polls from Andhra",politics
Won't help Congress in Lok Sabha poll if it allies with CPM in Bengal: Mamata Banerjee,politics
Why Jabalpur is at epicentre of Madhya Pradesh politics,politics
1,politics
2,politics
3,politics
4,politics
5,politics
6,politics
7,politics
8,politics
9,politics
10,politics
11,politics
12,politics
News,politics
News,politics
"2 die in West Bengal panchayat poll unrest, HC orders central forces for all districts in 48 hours",politics
"Hasten projects, Lok Sabha polls may be held in 2023 itself: Nitish Kumar to officials",politics
Political sparks fly as ED arrests DMK minister V Senthil Balaji,politics
Devendra Fadnavis back in picture as Sena issues fresh advertisement,politics
Why Hindutva will play crucial role in Congress’s Madhya Pradesh election campaign,politics
"PM Modi takes veiled dig at Lalu Prasad, Mamata Banerjee over job scams",politics
Some in Congress are seasonal Hindus: Rajnath Singh's dig at Priyanka Gandhi,politics
Devendra Fadnavis skips government event he was to address with Eknath Shinde,politics
Maharashtra: Row over Eknath Shinde-led Shiv Sena's advertisement as Devendra Fadnavis edged out of picture,politics
Opposition unity advocate Bihar CM Nitish Kumar left red-faced as ally quits cabinet,politics
BJP neta stakes claim to CM Eknath Shinde's Thane,politics
Priyanka Gandhi blows MP poll bugle with '5 guarantees',politics
Will contest 2024 Lok Sabha elections from Kaiserganj: Brij Bhushan Sharan Singh,politics
Congress likely to include Sachin Pilot in Rajasthan poll panels to placate him,politics
Decision on PM pick after Lok Sabha polls: JD(U) ahead of opposition meeting,politics
Sachin Pilot keeps alive suspense on next move,politics
"Amit Shah wields sengol to woo Tamil Nadu, sets NDA target to win 25 of 39 Lok Sabha seats in 2024 polls",politics
"BJP will win in Lok Sabha polls next year, break all records: Maharashtra CM Shinde",politics
"Ladli Behna Yojana not a freebie, it’s social revolution: Madhya Pradesh chief minister Shivraj Singh Chouhan",politics
9 years of Modi govt real differentiator in India's growth story: Sarbananda Sonowal,politics
"Opposition needs to present alternative, PM face not issue: Sharad Pawar",politics
Rahul Gandhi was punished for his 'misdeeds': Anurag Thakur over disqualification,politics
BJP leader Smriti Irani hits out Congress over Rahul's 'mohabbat ki dukan' remark,politics
MP CM Shivraj Singh Chouhan to release funds in Jabalpur on June 10 for Ladli Behna Yojana,politics
BJP 'scared' of facing united opposition in 2024: Tejashwi Yadav,politics
Opposition planning one-on-one fights with BJP on 450 Lok Sabha seats,politics
How Odisha train accident got politicised,politics
BJP will meet same fate in Chhattisgarh elections like Karnataka: CM Bhupesh Baghel,politics
"Muslim League is a secular party, says Rahul Gandhi; BJP, Congress trade charges",politics
Karnataka Cabinet meeting: Siddaramaiah govt to implement all 5 guarantees this year,politics
'This is people's money ... ': Priyank Kharge on implementation of Congress' five poll guarantees,politics
"'Hidden undercurrent': Congress will surprise everyone in 2024, Rahul Gandhi says in US",politics
Rajasthan poll will be fought unitedly: Congress,politics
"‘Sarkar nahin, riwaz badlenge’: Now Congress to use BJP’s Himachal Pradesh slogan in Rajasthan",politics
Never imagined something like this was possible: Rahul Gandhi on disqualification from Lok Sabha,politics
"Unemployment, price rise real issues, 'made-up distractions' by PM, his 'drum-beaters' will not change that: Congress",politics
Criteria and frameworks are being decided for implementation of guarantees: Priyank Kharge,politics
BJP can be defeated if opposition is 'aligned properly': Rahul Gandhi,politics
Can't digest PM Modi's fame: BJP hits back at Rahul Gandhi's remarks,politics
'PM Modi would start explaining to God how universe works': Rahul Gandhi in US,politics
Congress to get 150 seats in Madhya Pradesh: Rahul Gandhi after meeting state leaders over poll preparedness,politics
"'In 9 years, BJP did nothing but brought issues like inflation ... ,' says Mallikarjun Kharge",politics
"Karnataka portfolios: Siddaramaiah keeps Finance, Shivakumar gets Irrigation, Bengaluru development",politics
New Parliament unveiling: Why opposition boycott did not bother BJP,politics
"Karnataka cabinet expanded; Byregowda, HK Patil among 24 MLAs sworn in as ministers",politics
Opposition's dynastic leadership at loggerheads with constitutional values: JP Nadda,politics
"Karnataka CM Siddaramaiah meets Rahul Gandhi, Sonia Gandhi in Delhi; likely to discuss cabinet expansion",politics
"Popular mandate, not Congress charity, made Modi PM: Amit Shah",politics
'BJP has become loose cannons ...' Priyank Kharge over BJP leader's 'finish off' Siddaramaiah remark,politics
"Opposition's unnecessary row over new Parliament building, say constitutional experts",politics
2,politics
3,politics
4,politics
5,politics
6,politics
7,politics
8,politics
9,politics
10,politics
11,politics
12,politics
News,politics
News,politics
"Karnataka MLAs take oath in name of family deity, political masters",politics
"Delhi govt vs Centre: Congress to take call on backing AAP after talking to allies, state units",politics
"Not in PM race, working to get opposition parties together, says Sharad Pawar",politics
Congress likely to boycott inauguration of new Parliament building on May 28,politics
"Bihar CM Nitish Kumar meets Kharge, Rahul; discusses roadmap for opposition unity",politics
"Due to PM Modi, Karnataka suffered as Rs 5,495 crore special grant not given to state: CM Siddaramaiah",politics
"Siddaramaiah govt's first Cabinet meet gives 'in-principle' nod for Cong's guarantees; estimates peg Rs 50,000 crore outgo",politics
Three-day Karnataka Assembly session from Monday: Siddaramaiah,politics
Five 'guarantees' will become a law after 1st cabinet meeting today: Rahul Gandhi,politics
DK Shivakumar sworn in as Karnataka's deputy chief minister,politics
Congress veteran Siddaramaiah sworn in as Karnataka chief minister,politics
"Siddaramaiah, DK Shivakumar to get 10 mantris each in 30-member cabinet",politics
Odisha CM Naveen Patnaik expecting PM Narendra Modi's return in 2024?Remark hints at that,politics
"In states where Congress is strong, other parties should help it: KC Tyagi",politics
"With Karnataka CM issue solved, Congress asks BJP to do soul searching",politics
CM-designate Siddaramaiah to stake claim today to form government in Karnataka,politics
"If a Dalit is not made deputy CM, it will spell trouble for Congress, warns Parameshwara",politics
"Siddaramaiah, Shivakumar express commitment to work unitedly for welfare of people of Karnataka",politics
Security beefed up in Shivakumar's home district as Karnataka CM name yet to be decided,politics
"Renaming of Rajpath to Kartavya Path 'pure politics', says Shashi Tharoor",politics
Karnataka assembly win no guarantee Congress will perform well in 2024: Prashant Kishor,politics
"Maharashtra: Sharad Pawar holds meeting with NCP leaders for Lok Sabha, assembly polls",politics
"Karnataka CM decision: Siddaramaiah, Shivakumar meet Rahul Gandhi",politics
"Did infighting, corruption sink BJP in Karnataka?",politics
Kapil Sibal takes dig at BJP over Karnataka poll result,politics
Congress victory in Karnataka assembly polls is best birthday gift possible for me: Shivakumar,politics
Karnataka election win ensures Congress will retain 3 Rajya Sabha seats,politics
"After big win, big dilemma for Congress: Siddaramaiah & Shivakumar both firm on Karnataka CM chair",politics
Mallikarjun Kharge appoints observers in Karnataka ahead of Congress legislative party meeting,politics
I have no differences with Siddaramaiah: DK Shivakumar,politics
Next Karnataka CM? Congress Legislature Party meet today,politics
Double engine that powered Congress quest in Karnataka: Siddaramaiah & Shivakumar,politics
Karnataka: Congress vows to roll out 5 guarantees in 1st cabinet meet,politics
‘PM Modi not invincible’: How opposition read Karnataka verdict,politics
"Karnataka election: South hold gone, hard matches ahead for BJP",politics
"Karnataka elections: No rubber stamp, Congress president Kharge emerges stronger as boss",politics
Corruption & soaring prices: Many missteps in BJP's Karnataka poll battle,politics
Siddaramaiah top contender for CM post in Karnataka,politics
Karnataka polls results: 'My father should be CM...' Siddaramaiah's son as early trends show Congress leading,politics
'No one contacted me till now...no demand for me': Kumaraswamy ahead of counting of votes in Karnataka,politics
"Once Nitish’s closest aide, ex-JD(U) chief RCP Singh joins BJP",politics
"Sachin Pilot begins 5-day yatra against Ashok Gehlot ‘inaction’ over paper leaks, graft",politics
"Delhi govt has power over all services except police, land, public order: Supreme Court",politics
"Nitish Kumar's ‘unity tour’ takes him to Sharad Pawar, Uddhav Thackeray in Maharashtra",politics
"Karnataka polls: Fearing hung House, BJP & Congress mount backroom operations to woo JD(S)",politics
"After Tamil Nadu tapes, PTR loses finance portfolio",politics
"BJD to contest Lok Sabha polls on its own, says Naveen Patnaik",politics
"Sena vs Sena: Supreme Court slams governor's role, but spares Eknath Shinde govt",politics
Speaker to get ‘reasonable time’; may be three months,politics
Setback for MVA as Eknath Shinde sails through,politics
3,politics
4,politics
5,politics
6,politics
7,politics
8,politics
9,politics
10,politics
11,politics
12,politics
News,politics
News,politics
Maharashtra CM Eknath Shinde likely to assert himself,politics
"I will decide at the earliest, says Maharashtra Speaker. Open to review, says Supreme Court",politics
Renewed bid likely for whip’s post by both Shiv Sena camps,politics
"Verdict a victory for democracy, seal of approval for our govt, say Eknath Shinde & Devendra Fadnavis",politics
"Maharashtra govt should resign, must re­evaluate governor system, says Uddhav Thackeray",politics
"Shinde’s appointment as legislature party leader illegal, says Supreme Court",politics
"Allowed to stay Maharashtra CM, Eknath Shinde may expand cabinet soon",politics
Adopt tests other than rivals’ House numbers to allot symbol: Supreme Court,politics
'Satisfied': Devendra Fadnavis after Supreme Court's verdict on Maharashtra political crisis,politics
Supreme Court ruling reinstates trust in democracy: Uddhav Thackeray,politics
Maharashtra governor 'erred' but can't reinstate MVA government as Uddhav Thackeray resigned without taking floor test: Supreme Court,politics
Tamil Nadu finance minister Palanivel Thiaga Rajan (PTR) may be shifted to other ministry over anti-Stalin tapes,politics
Hung assembly? Congress devises Operation Hasta to foil BJP’s Lotus,politics
Gehlot-Pilot spat gives Modi ammo to target ‘selfish’ Congress,politics
"At 73%, Karnataka records highest turnout ever",politics
"Assembly elections: Exit polls give Congress edge in Karnataka, but differ on clear win",politics
"Cong says ‘sovereignty' word was never used by Sonia Gandhi, deletes 'erroneous' tweet",politics
Karnataka assembly election: Did PM Modi hit two birds with one stone with Rajasthan visit?,politics
‘Poll code does not cover social media platforms’,politics
Act against PM for code breach in ‘silence period’: Congress to Election Commission,politics
"Bommai, DKS, other netas on temple run day before voting",politics
‘Vote for bright future’: PM Modi's call a day before Karnataka polls,politics
Fadnavis lawyer: Listed 22 cases in poll papers but ‘missed 2’,politics
"Day ahead of Karnataka polls, Sachin Pilot attacks Ashok Gehlot again",politics
Nitish Kumar calls on Naveen Patnaik; Odisha CM denies any alliance talks,politics
Assembly elections: Karnataka votes today in high-stakes battle seen as 2024 warm-up,politics
How parties are playing the caste game in Karnataka,politics
"Karnataka polls: Rahul Gandhi goes to cafe, travels in bus to wrap up campaign",politics
Election Commission ignoring BJP netas’ ‘hate speeches’: Congress,politics
Give ‘verifiable’ facts to back claims against Cong: Election Commission to BJP,politics
Sharad Pawar failed to create NCP successor: Saamna editorial,politics
"Karnataka polls: Election Commission asks Congress to ‘clarify, rectify’ Sonia’s sovereignty comment",politics
"Karnataka polls: PM Modi attacks Congress, pitches for ‘growth’ to woo young voters",politics
'Gehlot's statement a conspiracy...': Vasundhara Raje counters Rajasthan CM's claim,politics
"Amid complaints, EC advisory for parties on print media ads",politics
"Supriya Sule not keen to head NCP, wants to focus on 2024: Sharad Pawar",politics
What is unique about Congress leader Sonia Gandhi’s election rally in Karnataka,politics
"ED, CBI won't help BJP get votes: Mamata Banerjee",politics
'Cannot disrespect sentiments': Sharad Pawar takes back decision to resign as NCP chief; Ajit Pawar's absence at presser raises eyebrows,politics
NCP workers break into celebration after party committee passes resolution to reject Sharad Pawar's decision to step down,politics
Will it be 1-1 or 2-0 between BJP chief Nadda and Congress boss Kharge in Karnataka assembly election?,politics
"Bommais' 3G begins networking, but final call ‘will depend on destiny’",politics
Supriya Sule frontrunner for NCP top post; Ajit Pawar MVA's CM face?,politics
"Supriya Sule emerging as top contender for top NCP post, Ajit Pawar may be CM pick",politics
"Rahul Gandhi, Stalin dialled Supriya Sule, want Sharad Pawar to stay party chief, say NCP leaders",politics
"Karnataka Congress likens Bajrang Dal to PFI, proposes ban",politics
Ajit Pawar stands apart as only NCP neta backing uncle's quit plan,politics
"Uddhav Thackeray lacked political acumen, failed to quell revolt: Sharad Pawar",politics
Sanjay Raut likens Sharad Pawar decision to Balasaheb's resignation,politics
"Tears, pleas and agitation: NCP netas turn emotional",politics
4,politics
5,politics
6,politics
7,politics
8,politics
9,politics
10,politics
11,politics
12,politics
News,politics
News,politics
Sharad Pawar inclined to stick to decision: Close aides,politics
"Sharad Pawar quits as NCP chief, party gets him to rethink",politics
"Modi talks only about himself even in Karnataka election, Rahul Gandhi mocks PM",politics
"Karnataka poll: Congress releases manifesto, vows 200 units of free electricity, monthly allowances for women heads, unemployed",politics
PM Modi to hold public rally in Rajasthan's Sirohi on May 12,politics
"How 85% vs 40% commission war between BJP, Congress plays up in Karnataka assembly election",politics
"Vote for double-­engine govt, not reverse-­gear one: Amit Shah",politics
"Assembly election: Congress abused me 91 times, Karnataka voters will reply, says PM Narendra Modi",politics
Vote for double engine govt in Karnataka: Amit Shah,politics
Modi first PM to narrate his agony to people instead of listening to their woes: Priyanka Gandhi,politics
"Nitish should stop daydreaming, no vacancy in 2024: Ravi Shankar Prasad",politics
Meeting of opposition leaders in Patna post-Karnataka poll: Nitish Kumar,politics
Former JD(U) leader Ajay Alok joins BJP,politics
"Gehlot, Pilot powerful leaders; no discord in party: Rajasthan Congress Co-incharge",politics
Maharashtra chief minister Eknath Shinde lands in native Satara village amid 'political realignment' buzz,politics
"Priyanka Gandhi holds roadshow in Karnataka, urges people to vote for Congress",politics
PM Modi to hold interactive meeting with 50 lakh party workers virtually in poll-bound Karnataka,politics
"Abhishek starts TMC's new campaign, says BJP's ‘communal' narrative will not dictate Bengal's politics",politics
"Amid opposition's anti-BJP moves, Sharad Pawar flip-flops on MVA unity, may skip rallies",politics
No challenge to PM Narendra Modi at least in 2024 polls: RLJD chief Upendra Kushwaha after meeting Union minister Amit Shah,politics
Reports on 'defective' VVPATs: Cong says EC should restore public confidence on integrity of poll process,politics
"Amid JPC row, NCP president Sharad Pawar holds a two-hour-long meeting with industrialist Gautam Adani",politics
Alliance of major opposition parties not possible at national level: CPM,politics
"Sachin Pilot skips key Congress meet in Jaipur, draws party rebuke",politics
"No takers for Mukul Roy in Bengal? Mamata Banerjee says he is 'BJP MLA', Suvendu Adhikari calls him 'rejected leader'",politics
Will resign if proven I dialled Shah over TMC's national status: Mamata Banerjee,politics
"2 political earthquakes, one in Delhi & the other in Maharashtra, in 15 days: NCP's Supriya Sule",politics
"I will stay with NCP, reports about my political moves completely baseless: Ajit Pawar",politics
Maharashtra: Is Ajit Pawar weighing his options? NCP unable to quieten buzz,politics
"Karnataka elections: Unruffled by revolts, BJP banks on 72 first-time candidates",politics
Sharad Pawar says it's NCP MLAs' call if they defect: Sanjay Raut,politics
'Modi surname' defamation case: Surat court to pronounce verdict on Rahul Gandhi's appeal against conviction on April 20,politics
Eknath Shinde had cried and said he will be jailed if he didn't hop over to BJP: Aaditya Thackeray; Shiv Sena denies claim,politics
TMC will soon cease to be even a state party: Suvendu Adhikari,politics
PM Modi's comments at Vande Bharat launch aimed at upcoming elections: Ashok Gehlot,politics
BJP will return to power by winning over 300 Lok Sabha seats in next year's polls: Amit Shah,politics
Rahul Gandhi has ties with ‘undesirable businessmen’: Ghulam Nabi Azad,politics
Congress has to be at centre of coalition that takes on BJP in 2024: Kapil Sibal,politics
"Amit Shah in huddle with Nadda, BSY and Bommai ahead of meet to select candidates",politics
"Opposition must heed Pawar's statement on Adani, Maha CM says in swipe at Cong, Uddhav",politics
Sharad Pawar: It seems Adani Group was targeted; can’t see logic of JPC demand,politics
Former Andhra Pradesh chief minister and Congress leader N Kiran Kumar Reddy joins BJP,politics
"BJP foundation day: Parties fighting existential crisis will keep conspiring against us, PM Modi says",politics
DMK chief M K Stalin makes strong pitch for opposition unity,politics
Samajwadi Party trying to unite 'Bahujan Samaj': Akhilesh Yadav,politics
Northeast Diary: Nagaland’s dilemma over 33% quota for women in civic bodies,politics
Karnataka assembly elections 2023: What are the major concerns,politics
Why selective in dealing with hate speeches: SG Tushar Mehta to Supreme Court,politics
Mamata Banerjee starts two-day dharna to protest Centre's 'discrimination' against West Bengal,politics
"Karnataka elections 2023: What's at stake for BJP, Congress and JD(S)",politics
5,politics
6,politics
7,politics
8,politics
9,politics
10,politics
11,politics
12,politics
News,politics
News,politics
"Gandhi family is Congress pivot, keeps party united: Rajasthan CM Gehlot",politics
"TMC back in Opposition camp with Cong, treading slowly",politics
"After Lok Sabha disqualification, Rahul Gandhi gets notice to vacate official bungalow",politics
Rahul Gandhi's disqualification shows BJP’s dictatorial mindset: Chhattisgarh CM Bhupesh Baghel,politics
BJP will win 200+ seats in Madhya Pradesh polls: JP Nadda,politics
Rahul has forgotten Indira Gandhi's letter on Savarkar: Anurag Thakur,politics
Won't tolerate insult to Savarkar: Uddhav Thackeray on Rahul Gandhi's remark,politics
"BJP hits back, says Congress 'satyagrah' show of arrogance",politics
"Congress did not seek legal remedy on purpose, says BJP",politics
Lost Lok Sabha seat as PM Modi was afraid of my next speech: Rahul Gandhi,politics
"Congress wanted Rahul barred because of political calculations, says BJP",politics
"Rahul Gandhi disqualified as MP, can’t contest polls for 8 years if conviction not stayed",politics
Opposition parties rally around Rahul Gandhi; BJP calls his disqualification lawful,politics
Black day in history of democracy in India: KCR on Rahul Gandhi's disqualification,politics
Mamata Banerjee and Naveen Patnaik bat for strong federal structure,politics
"BJP using legal cover to silence inconvenient voices, says Congress",politics
Rahul Gandhi's disqualification 'immediate & automatic' despite bail: Legal experts,politics
"Appropriation Bill: Lok Sabha clears Rs 45 lakh crore spend in 9 minutes, without discussion",politics
Ghulam Nabi Azad's memoir reveals why Congress lost Himanta Sarma - once party's key strategist in northeast,politics
"BJP schemes emerge from bureaucracy, Congress's from the people: Rahul Gandhi",politics
Assam assembly passes resolution against BBC; opposition wants screening of documentary inside House,politics
"BJP is just a tenant, not owner of democracy: Congress",politics
"Nitish Kumar gets angry at English again, this time inside legislature",politics
"'Scurrilous' claims made against me, have right to respond in Parliament to 'unfair' charges: Rahul Gandhi",politics
"Ruckus on, Parliament loses another day",politics
"Assembly elections: To woo Karnataka jobless, Rahul Gandhi vows doles of up to Rs 3,000",politics
"Parliament adjourned for 6th day in a row over Rahul remark, Adani issue",politics
"PM Modi, Mamata Banerjee have deal to defame Rahul Gandhi, Congress: Adhir Ranjan Chowdhury",politics
No opposition front is possible without Congress: Jairam Ramesh,politics
"Defence minister Rajnath slams Congress leader Rahul, says no democracy in world like India",politics
"Parliament logjam can be resolved if opposition comes for talks, says Amit Shah",politics
Samajwadi Party to keep equal distance from both Congress and BJP: Akhilesh Yadav,politics
"No Gujarat-style experiment in Madhya Pradesh, BJP to stick with CM Shivraj Singh Chouhan",politics
Rahul Gandhi has become permanent part of 'toolkit' working against India: BJP chief JP Nadda,politics
SC: How can Uddhav Thackeray be reinstated as CM when he resigned before floor test?,politics
"Congress cannot take us for granted, say TMC leaders after staying away from opposition march",politics
Central probe agencies being used to target opposition leaders: Priyanka Chaturvedi,politics
Rahul Gandhi should speak more responsibly: RSS leader Dattatreya Hosabale,politics
TMC plans to target Centre with issues common to all opposition parties,politics
Congress workers stage protest against Centre over Adani issue,politics
Union minister Anurag Thakur targets Congress over FATF report on 'bribe' for national award,politics
Congress leader Randhawa calls to finish off PM Modi to 'save' country,politics
PM got his 'drumbeaters' to get Parliament adjourned so that JPC demand on Adani issue is not raised: Congress,politics
"K Kavitha invites Congress to Delhi protest, praises Sonia Gandhi",politics
No opposition in Nagaland House for second time as all parties support govt,politics
"PM Modi tallest leader of country, any party entering northeast will have to support him: Assam CM Himanta",politics
Karnataka assembly elections: Asaduddin Owaisi-led AIMIM's entry gives Congress the jitters,politics
Sharad Pawar says NCP to back BJP-allied Nagaland govt,politics
Amit Shah to visit Tripura on Tuesday,politics
"BJP likes to believe it will be in power 'eternally', but that's not the case: Rahul Gandhi",politics
6,politics
7,politics
8,politics
9,politics
10,politics
11,politics
12,politics
News,politics
News,politics
Sharad Pawar: Will ensure MVA contests Maharashtra assembly and Lok Sabha polls together,politics
"After northeast sweep, BJP looks south to boost tally for 2024",politics
"BJP attack on Rahul Gandhi stems from ‘ignorance & contrived politics’, says Congress",politics
‘Truth is world sees India as a bright spot’: BJP takes fresh swipe at Rahul,politics
Former Rajasthan chief minister Vasundhara Raje turns birthday bash into show of strength ahead of polls,politics
"Congressman Kaustav Bagchi held for remarks on Bengal CM Mamata Banerjee, released on bail",politics
Union minister Shekhawat sues Rajasthan CM Gehlot for defamation over scam ‘barbs’,politics
"When PM Modi roasted Congress president Mallikarjun Kharge over Tripura, Nagaland, Meghalaya election results",politics
Indian democracy under threat: Congress leader Rahul at Cambridge,politics
BJP accuses Congress leader Rahul of denigrating India on foreign soil,politics
"BSY quit due to ill health, wasn't forced to resign as CM: Rajnath",politics
"Congress, Left are with BJP, no tie-up with them for 2024 polls: Mamata Banerjee",politics
"NDA 3, Congress 3 in bypolls in 5 states",politics
"Meet first 2 women MLAs of Nagaland - Hekani Jakhalu, Salhoutuonuo Kruse",politics
"2023 assembly elections, Round 1: Congress decimated in Nagaland, Tripura and Meghalaya",politics
"Bharadwaj, Atishi to replace Sisodia, Jain in Delhi cabinet",politics
"2024 unity call at MK Stalin's birthday: Parties say PM face not issue, need to fight BJP",politics
Never said who will lead or become PM: Congress president Mallikarjun Kharge calls for opposition unity,politics
"Manish Sisodia arrest: Congress silent, Ajay Maken supports CBI action",politics
Uddhav Sena rebel is Shinde's whip in House,politics
"Not scared of agencies unleashed by govt, will continue raise people's issues: Congress",politics
AAP calls BJP 'favourite washing machine of sinners',politics
"'BJP scared of Lalu Yadav in Bihar, sending central agencies': Rabri Devi",politics
"Maharashtra: Uddhav Thackeray dubs EC as bogus, calls Shinde faction creepers, thieves",politics
"I don't have a house, says Rahul Gandhi; BJP takes a dig",politics
"BJP government ‘satta-grahi’, doesn't hesitate to bow before powerful China: Rahul",politics
"Beef is our staple food, BJP does not interfere: Nagaland deputy CM Patton",politics
Demand of JPC probe into Adani issue figures in Congress's economic resolution,politics
"Adityanath takes dig at SP chief, asks why doesn't he treat uncle Shivpal Yadav respectfully",politics
"BJP trying to divide the country on caste, religious lines: Lalu",politics
"BJP fuelling fire of hatred, targeting minorities, dalits, tribals, women: Congress leader Sonia Gandhi",politics
Looking forward to align with like-minded parties to defeat BJP in 2024 Lok Sabha polls: Mallikarjun Kharge,politics
Kharge asks party members to set eyes on string of electoral tests leading up to 2024 Lok Sabha polls,politics
"No election to Congress Working Committee, party president to nominate  members",politics
Sachin Pilot: Countdown of NDA government has begun,politics
Rajasthan chief minister Ashok Gehlot condemns Congress leader Pawan Khera's arrest by Assam police,politics
Remarks against PM: SC orders grant of interim bail to Congress leader Pawan Khera till February 28,politics
"Traitors, who intended to destroy AIADMK and acted as DMK ‘B’ team, are exposed today:  EPS",politics
Win for Edappadi Palaniswami as SC upholds Madras HC order on AIADMK leadership,politics
CR Kesavan quits Congress: 'Not seen any vestiges of values that made me work for party',politics
How Nagaland became turf of BJP-Congress war for 2024 Lok Sabha election,politics
"Plot to end Shiv Sena, no one can steal my surname: Uddhav Thackeray",politics
UP Budget session: SP disrupts Governor's address with 'go back' slogans,politics
"EC decision on Shiv Sena name and symbol part of Rs 2,000-crore deal: MP Sanjay Raut",politics
"EC decision on Shiv Sena: NCP chief Sharad Pawar asks ally Uddhav to accept it, take new symbol",politics
"2024 polls will be exciting, BJP will face 'tough time' if opposition coalesces around one candidate in every seat: Shashi Tharoor",politics
Sachin Pilot: Why Congress 'delay' in taking action against Gehlot loyalists?,politics
"BJP has no competition in 2024, people whole-heartedly with PM Modi: Amit Shah",politics
"Mamata Banerjee: BJP tried to lure brother, his wife & break my family",politics
