headline,category
T20 World Cup Points Table Group A update: Pakistan in must-win scenario against USA today; India lead standings,sports
‘Nafrat faila rahe hain’: Saqlain Mushtaq lashes out at ex-India cricketers ahead of IND vs PAK clash,sports
India vs Pakistan T20 World Cup 2026 Match: Reactions as IND vs PAK game is back on calendar,sports
"BCCI sticks to its policy, bars players from staying with families",sports
T20 World Cup: Pakistan agreeing to play India saves ICC $174 million,sports
"T20 World Cup: Markram, Ngidi power South Africa to resounding win over Canada",sports
‘Opt out of the entire tournament’: Sunil Gavaskar blasts Pakistan’s ‘baffling’ decision to snub India game at T20 World Cup,sports
"T20 World Cup: Pakistan takes U-turn, to play India on February 15 as ICC plays hardball",sports
Bangladesh urge Pakistan to play against India in T20 World Cup ‘for benefit of cricket ecosystem’,sports
How Suryakumar Yadav battled his worst slump: From devotional songs to finding his balance,sports
Syed Modi International demoted to Super 100 from Super 300 under new BWF reforms,sports
T20 World Cup: Blessing Muzarabani leads bowlers’ charge as Zimbabwe beat Oman by eight wickets,sports
Max O’Dowd faces abuse for dropping Pakistan’s Faheem Ashraf: ‘It seems Indian fans were angrier than Dutch supporters’,sports
"Rohit Sharma, Virat Kohli demoted in latest BCCI Contract list, just three men’s players in Grade A",sports
"New gun, new confidence as Manu Bhaker wins 25m pistol silver at Asian Shooting Championships",sports
UAE captain Muhammad Waseem: There is no India-Pakistan divide in team,sports
‘I just don’t see how Liverpool can make it to Champions League’: Jamie Carragher warns Arne Slot side after 2-1 defeat to Man City,sports
Dale Steyn offers to coach Nepal after minnows push England to the brink in Wankhede thriller,sports
Pakistan players in Colombo await final decision as uncertainty about India match looms,sports
"We have beaten Pakistan once, pressure is on them, says USA’s Mohammad Mohsin ahead of T20 World Cup match",sports
Cleared for takeoff: The many altitudes of Glenn Phillips,sports
Bowled on 299! Bengal’s Sudip Gharami becomes first Indian in First-Class history to be dismissed one short of triple century,sports
Badminton tournament changes: World Championships and five Super 1000s to be held over 11 days in group and elimination format,sports
Bowled on 299! Bengal’s Sudip Gharami becomes first Indian in First-Class history to be dismissed one short of triple century,sports
Badminton tournament changes: World Championships and five Super 1000s to be held over 11 days in group and elimination format,sports
"South Africa vs Canada HIGHLIGHTS, T20 World Cup 2026: SA thump CAN for 57-run win in Ahmedabad",sports
"George Munsey helps Scotland post first 200 of T20 World Cup as it’s baptism by fire for Italy, going down in 73-run loss",sports
Harshit Rana provides update from hospital bed after surgery: ‘…getting back to what I love’,sports
T20 World Cup: Italy captain Wayne Madsen dislocates shoulder in defeat to Scotland,sports
‘Made my life a lot easier’: Gautam Gambhir on Suryakumar Yadav’s captaincy,sports
Rugby and Cricket’s ‘Calcutta Cup’ will happen simultaneously – on Valentines Day; Italy-Scotland take Six Nations’ rugger rivalry into their T20 World Cup opener,sports
‘There’s baggage’: Ravi Shastri says Babar Azam has ‘weight of expectation’ on him,sports
‘Babar Azam’s lost his power’: Ricky Ponting explains why Pakistan must consider bringing star batter up at No 3 position rather than No 4,sports
Sprint sensation Gout Gout set to skip Commonwealth Games in favour of U20 World Championships,sports
‘Slap in the face’: Trump on Bad Bunny’s Super Bowl LX halftime show as Seahawks crush Patriots,sports
"‘Virat Kohli said there was no fun hitting mediocre bowlers, he wanted to hit the top ones’ – Lesson for Vaibhav Sooryavanshi from another under-19 World Cup winner",sports
"‘Baaki batsman chanafali bech rahe the kya?’: Basit Ali, Kamran Akmal rip into Pakistan after Netherlands escape",sports
"American skier Lindsey Vonn suffers broken leg, airlifted after horrific Winter Olympic downhill crash",sports
T20 World Cup: Kamindu Mendis rescues Sri Lanka from a spot as co-hosts begin campaign with win over Ireland,sports
"Devika Sihag wins Azerbaijan; Radhika Sharma, sister of Tanvi, clocks first mixed doubles title with Sathwik Reddy",sports
Tejaswin Shankar breaks NR to win gold at Asian Indoor Athletics Championships,sports
"T20 World Cup: What links Cricket’s unluckiest number 111 to Italy – the debuting side, dubbed ‘Miracolo Italiano’ back home?",sports
Will Jacks reveals final-over nerves in T20 World Cup clash against Nepal: ‘My heart was thumping’,sports
‘Not many teams take Adil Rashid like they did’: Harry Brook lauds Nepal after suffering big scare in T20 World Cup,sports
Nandan Yadav reacts to Nepal’s 4-run loss to England at the 2026 T20 World Cup:  ‘Mix of pride and regret’,sports
"A friend in need: Behind Elavenil Valarivan and Arjun Babuta’s team rifle gold at Asian Shooting Championships, a familial bond",sports
Davis Cup: Dhakshineswar Suresh serves up a treat as India beat the Netherlands 3-2 to get closer to World Group,sports
‘Cricket’s global rise accelarates’: Sachin Tendulkar lauds USA’s efforts in T20 World Cup match vs India,sports
"T20 World Cup: England survive huge scare as Nepal suffer heartbreak, lose by 4 runs",sports
"T20 World Cup | England’s Jacob Bethell, ‘destined for greatness’, shows glimpses of his breathtaking talent against Nepal",sports
T20 World Cup: Baz-inspired Tim Seifert’s 65 off 42 neutralises Afghanistan’s menacing Mujeeb-ur-Rahman as Kiwis canter to victory,sports
T20 World Cup: Why did Suryakumar Yadav’s innings against USA remind Harmeet Singh of MS Dhoni,sports
"T20 World Cup | Gulbadin Naib: Afghanistan’s bicep-flexing endurer, steps into new role and carries his team’s batting like the mythical Hercules",sports
From Chennai to China: How Chinese women’s tennis player Fangran Tian swears by her Indian coach Mangal Sriram,sports
"Sri Lanka vs Ireland Highlights, T20 World Cup 2026: SL begin campaign with victory, beat IRE by 20 runs in Colombo",sports
"Agni Dev Chopra, son of Bollywood director Vidhu Vinod Chopra, denies rumours of signing up for PSL",sports
"Three Nepal fans chase a T20 World Cup dream: 30-plus hours on a train, four matches of hope",sports
"T20 World Cup: After Suryakumar Yadav’s incredible rescue act against USA, Ashwin highlights one special aspect: ‘Back into his game…’",sports
"England vs Nepal highlights, T20 World Cup Updates: ENG beat NEP by 4 runs in Mumbai",sports
U19 World Cup: Vaibhav Sooryavanshi makes it to ICC’s team of the tournament but captain Ayush Mhatre misses out; here’s the 12-member squad,sports
‘Purely overconfidence’: Former opener slams India’s batting collapse against USA in T20 World Cup match,sports
‘Kahaan se superstar hai?’: Basit Ali predicts Babar Azam could be dropped for Pakistan’s clash against USA,sports
T20 World Cup: What is the highest team score in T20 WC history?,sports
Allow shuttlers to drop ‘national duty’ if they are pursuing training for the All England – both will be chalked up as ‘Indian wins’ eventually,sports
"New Zealand vs Afghanistan highlights, T20 World Cup 2026: NZ beat AFG by 5 wickets",sports
Axar Patel says India were ‘surprised by the Wankhede pitch’ in T20 World Cup game against USA,sports
Mohammed Siraj on his late T20 World Cup call-up: ‘I was to go to Spain to watch Real Madrid football game… this feels like a dream’,sports
"Suryakumar Yadav reveals how he sculpted India’s comeback from 77/6 vs USA in T20 World Cup: ‘Gauti bhai told me, just bat till the end’",sports
"Suryakumar Yadav wins 17th Player of the Match award, breaks Kohli’s T20I record",sports
"ISL 2025/26 fixtures announced: Mohun Bagan SG face Kerala Blasters in opening match on February 14, Kolkata derby on May 3",sports
Surya rescues India in thrilling escape from plucky USA,sports
Manchester United win again to make it four wins in a row for new coach Michael Carrick,sports
Suryakumar Yadav’s rescue act powers India to nervy 29-run win over USA in T20 World Cup opener,sports
‘I did not sleep the whole night’: Under-19 World Cup hero Vaibhav Sooryavanshi opens up on final pressure before historic 175,sports
"‘Hitting sixes isn’t his strength, his style is taking singles and doubles’: Mohammad Kaif’s blunt take on Babar Azam",sports
How a Pakistani immigrant who had given up on cricket and a South African troublemaker at school combined to reduce India to 77 for 6,sports
"Meghana Sajjanar, competing in her eighth month of pregnancy, wins a special bronze at Asian Championships",sports
"Delhi Open 2026 Tennis: Sumit Nagal leads Indian charge, Briton Jay Clarke spearheads overseas challenge",sports
T20 World Cup: Faheem Ashraf’s value and the dropped catch that could have potentially sent Pakistan home already,sports
"Romario Shepherd becomes first West Indian to take a T20 World Cup hat-trick, claims four wickets in an over vs Scotland",sports
T20 World Cup | Faheem Ashraf on Netherlands’ dropped catch that helped Pakistan win: ‘It wasn’t only my tongue that was praying…’,sports
India-Pakistan T20 World Cup game back on the table as PCB initiate talks with ICC,sports
"T20 World Cup: Globetrotting Rashid Khan’s cricketing paradox – can call many places his home, but still dreaming of playing in Afghanistan",sports
BCCI announces Rs 7.5 crore reward for India’s U-19 World Cup winners,sports
T20 World Cup 2026: Faheem Ashraf holds nerve as Pakistan survive Netherlands scare by 3 Wickets in tournament opener,sports
"India vs USA highlights, T20 World Cup 2026: IND beat USA by 29 runs in Mumbai",sports
"Novak Djokovic leaves door open for Serbia Davis Cup return, stays based in Greece",sports
"West Indies vs Scotland, T20 World Cup Highlights: Shepherd’s stunning 4-wicket over seals comprehensive win for West Indies",sports
India vs USA T20 World Cup Live Cricket Streaming: When and How to Watch IND vs USA Match Today Online,sports
Former U-19 World Cup-winning captain’s advice to India’s class of 2026: ‘Stay patient… can be a bumpy road’,sports
Cristiano Ronaldo misses second game in a row for Al-Nassr,sports
"Colombo weather update today, Pakistan vs Netherlands T20 World Cup 2026: Will rain affect tournament opener at SSC?",sports
"Pakistan vs Netherlands highlights, T20 World Cup 2026: PAK win by 3 wickets after Faheem Ashraf’s 19th over fireworks",sports
"India vs USA T20 World Cup 2026 Match Playing 11: Tilak Varma returns to No.3 spot, Ishan Kishan to open",sports
"No buzz, no hype around India this T20 World Cup. And this isn’t a complaint.",sports
"Jasprit Bumrah likely to miss India’s opening T20 World Cup game against USA, Ishan Kishan to open",sports
"Virat Kohli, Gautam Gambhir lead tributes as India clinch record sixth U-19 World Cup",sports
"India vs USA T20 World Cup 2026: Date, Time, Venue, Squad, Playing XI Prediction, Head-to-Head Records",sports
"List of men’s U19 World Cup winners: As Vaibhav Sooryavanshi, Ayush Mhatre and co extend India’s dominance, here’s a look at past winners",sports
"Rudrankksh Patil copes with pressure, wins Asian Championship gold in 10m air rifle",sports
"IND vs USA T20 World Cup 2026, Wankhede Stadium Pitch-Weather Report: What will the conditions be like for India vs USA match at Mumbai?",sports
Olympic gold medallist Imane Khelif accepts suppressing hormone levels ahead of 2024 Paris edition,sports
Vaibhav Sooryavanshi’s commanding 175 turns promise into permanence on a grand stage  as India beat England by 100 runs to lift sixth U19 World Cup,sports
STATS CORNER: Why Abhishek Sharma and Ishan Kishan could make history in T20 World Cup as an all-left-handed opening duo,sports
"SLC writes to PCB to consider playing India, cite financial loss and past support extended",sports
"India thump England by 100 runs in final, lift their record-extending sixth Under-19 World Cup title",sports
"T20 World Cup eve in Mumbai: Moon balls, blonde hair and days off",sports
‘Don’t think we have ever discussed the India-Pakistan issues amongst ourselves’: USA’s Saurabh Netravalkar ahead of T20 World Cup,sports
Pakistan skipper Salman Ali Agha defends action of off-spinner Usman Tariq ahead of T20 WC,sports
"Inspired by Dhoni, tempered by struggle: The rise of Pakistan’s sling-arm surprise, Usman Tariq",sports
‘The impact he creates is like how Sehwag used to do’: Kris Srikkanth urges fast-tracking of teenage sensation Vaibhav Sooryavanshi,sports
‘He won’t be playing below No.3’: Suryakumar Yadav on Ishan Kishan’s role in T20 World Cup,sports
‘Let’s entertain them’: Suryakumar Yadav embraces home World Cup pressure as India begin title defence against USA,sports
Quick Comment | Tale of two 175s: Vaibhav Sooryavanshi does a Kapil Dev,sports
‘Ask them… ask the Al-Ittihad players’: Karim Benzema’s pointed response on not saying goodbye to former team,sports
Vaibhav Sooryavanshi smashes 175 off 80 balls with 15 sixes as India seize control against England in Under-19 World Cup final,sports
‘There are certain etiquettes in football’: Chelsea boss Liam Rosenior explains his outburst against Arsenal,sports
Mohammed Siraj replaces injured Harshit Rana in India T20 World Cup squad,sports
"Vaibhav Sooryavanshi breaks U19 World Cup sixes record, becomes first man to hit 100 Youth ODI sixes",sports
"‘If you don’t play good football, it’s (almost) impossible to win something’: Liverpool boss Arne Slot remains adamant on his tactics of pressing high",sports
T20 WORLD CUP PREVIEW: How Rohit Sharma and Suryakumar Yadav made India and T20 soulmates to trigger a grand transformation,sports
‘Koi problem nahi’: How Smriti Mandhana led RCB to second WPL title despite having high fever before final,sports
‘We are not hurt … but it is not good for game’: Pakistan skipper Salman Agha on IND-PAK tensions,sports
‘Koi problem nahi’: How Smriti Mandhana led RCB to second WPL title despite having high fever before final,sports
‘We are not hurt … but it is not good for game’: Pakistan skipper Salman Agha on IND-PAK tensions,sports
Virat Kohli reacts to RCB winning WPL 2026: ‘You guys deserve this undoubtedly’,sports
Nasser Hussain named in ICC T20 World Cup 2026 commentary panel despite boycott remarks,sports
‘Three titles in three years is amazing’: RCB captain Smriti Mandhana reflects on WPL 2026 win,sports
"India vs England, U19 World Cup 2026 Final: Caleb Falconer’s century in vain as India defeat England to win 6th U-19 title",sports
"Josh Hazlewood ruled out of Australia T20 World Cup 2026 squad, no replacement named",sports
Cristiano Ronaldo receives Saudi PL warning: ‘No individual determines decisions beyond their club’,sports
"Badminton Asia Team updates: Rakshitha’s blistering game in vain as India lose 0-3 to China; No Lakshya, Satwik for Korean tie, Ayush on MS1 duty",sports
